centroid_name,lon,lat,GEOID
centroid_1,-111.076544,40.789839,49043964203
centroid_2,-111.276811,40.62636,49043964201
centroid_3,-111.282991,40.698113,49043964202
centroid_4,-111.285765,41.776494,49033950100
centroid_5,-111.364916,40.598384,49051940501
centroid_6,-111.366196,40.490448,49051960203
centroid_7,-111.380301,40.881808,49043964104
centroid_8,-111.399741,40.517545,49051960202
centroid_9,-111.402199,40.499864,49051960201
centroid_10,-111.408202,40.477897,49051960204
centroid_11,-111.420382,40.504007,49051960100
centroid_12,-111.420779,40.48159,49051980100
centroid_13,-111.434906,40.409967,49051960500
centroid_14,-111.440744,40.757146,49043964103
centroid_15,-111.442008,40.974532,49043964101
centroid_16,-111.463355,40.506679,49051960401
centroid_17,-111.47918,40.522269,49051960401
centroid_18,-111.491737,40.657076,49043964402
centroid_19,-111.505176,40.677097,49043964308
centroid_20,-111.510946,40.65549,49043964401
centroid_21,-111.510973,40.749146,49043964306
centroid_22,-111.521423,40.710945,49043964307
centroid_23,-111.523984,40.160043,49049010900
centroid_24,-111.555312,40.702311,49043964305
centroid_25,-111.57445,40.155571,49049003104
centroid_26,-111.578766,40.760625,49043964303
centroid_27,-111.579662,40.141332,49049010303
centroid_28,-111.58085,40.12006,49049010305
centroid_29,-111.586724,40.743115,49043964304
centroid_30,-111.589586,40.153301,49049003103
centroid_31,-111.594259,40.169936,49049003002
centroid_32,-111.600062,40.162271,49049003105
centroid_33,-111.602842,40.150459,49049003106
centroid_34,-111.604913,40.177464,49049003001
centroid_35,-111.608735,40.089857,49049010405
centroid_36,-111.61045,40.126741,49049010308
centroid_37,-111.614768,40.171519,49049002902
centroid_38,-111.618345,40.106963,49049010307
centroid_39,-111.623879,40.092185,49049010404
centroid_40,-111.628876,40.159185,49049002901
centroid_41,-111.62903,40.214505,49049002702
centroid_42,-111.629498,40.123103,49049010306
centroid_43,-111.632447,40.106182,49049003205
centroid_44,-111.634914,40.233733,49049980400
centroid_45,-111.635536,40.253363,49049001701
centroid_46,-111.636945,40.2272,49049002703
centroid_47,-111.638428,40.240275,49049001702
centroid_48,-111.638558,40.096336,49049003203
centroid_49,-111.640686,40.258373,49049980200
centroid_50,-111.64194,40.218808,49049980500
centroid_51,-111.646087,40.11793,49049003201
centroid_52,-111.646814,40.276497,49049001503
centroid_53,-111.64752,40.29044,49049001501
centroid_54,-111.64757,40.110315,49049003204
centroid_55,-111.64853,40.2644,49049001504
centroid_56,-111.648661,40.251416,49049001602
centroid_57,-111.649372,40.230038,49049002500
centroid_58,-111.650703,40.240069,49049001802
centroid_59,-111.650786,40.236052,49049001803
centroid_60,-111.650822,40.243418,49049001801
centroid_61,-111.65995,40.25576,49049001601
centroid_62,-111.660551,40.232836,49049002400
centroid_63,-111.66172,40.114122,49049003302
centroid_64,-111.662169,40.242473,49049001900
centroid_65,-111.662305,40.280341,49049001401
centroid_66,-111.662739,40.083359,49049010406
centroid_67,-111.66314,40.048822,49049010408
centroid_68,-111.666038,40.25546,49049001403
centroid_69,-111.667578,40.222519,49049980300
centroid_70,-111.667748,40.104488,49049003301
centroid_71,-111.66852,40.0218,49049010411
centroid_72,-111.669581,40.31791,49049000711
centroid_73,-111.670525,40.229905,49049002300
centroid_74,-111.670583,40.241261,49049002001
centroid_75,-111.672308,40.260179,49049001404
centroid_76,-111.675307,40.307781,49049000903
centroid_77,-111.675375,40.216548,49049002213
centroid_78,-111.67667,40.301024,49049000904
centroid_79,-111.677531,40.272456,49049001300
centroid_80,-111.678764,40.248673,49049002102
centroid_81,-111.679132,40.28629,49049001002
centroid_82,-111.679405,40.239153,49049002002
centroid_83,-111.680296,40.293406,49049001001
centroid_84,-111.680631,41.034586,49029970102
centroid_85,-111.680815,40.04626,49049010407
centroid_86,-111.683992,40.330432,49049000710
centroid_87,-111.688027,40.253105,49049002101
centroid_88,-111.688126,40.26641,49049001202
centroid_89,-111.690637,40.315477,49049000703
centroid_90,-111.690945,40.341445,49049000604
centroid_91,-111.691222,40.229559,49049002206
centroid_92,-111.692342,40.305926,49049000901
centroid_93,-111.692399,40.281249,49049001108
centroid_94,-111.694003,40.137893,49049010503
centroid_95,-111.696181,40.323257,49049000709
centroid_96,-111.699522,40.29005,49049001107
centroid_97,-111.700685,40.237922,49049002205
centroid_98,-111.700895,40.330228,49049000708
centroid_99,-111.703961,40.267811,49049001201
centroid_100,-111.704086,40.278152,49049001103
centroid_101,-111.705269,40.300141,49049000804
centroid_102,-111.707002,40.356894,49049000507
centroid_103,-111.707774,40.249038,49049002204
centroid_104,-111.710463,40.344773,49049000603
centroid_105,-111.712872,40.307984,49049000801
centroid_106,-111.713951,40.325992,49049000707
centroid_107,-111.715583,40.369104,49049000505
centroid_108,-111.716827,40.286662,49049001105
centroid_109,-111.716853,40.038209,49049003404
centroid_110,-111.716874,40.293379,49049001106
centroid_111,-111.718073,40.31855,49049000706
centroid_112,-111.720009,40.301039,49049000803
centroid_113,-111.721079,40.216928,49049980600
centroid_114,-111.722361,40.273057,49049002211
centroid_115,-111.725362,40.356218,49049000506
centroid_116,-111.727036,40.048777,49049003401
centroid_117,-111.728061,40.280467,49049002210
centroid_118,-111.729658,40.367083,49049000504
centroid_119,-111.730211,40.031261,49049003405
centroid_120,-111.733955,40.340267,49049000601
centroid_121,-111.737492,40.300907,49049002209
centroid_122,-111.738181,41.040237,49029970200
centroid_123,-111.740352,40.381469,49049010226
centroid_124,-111.740466,40.017394,49049010410
centroid_125,-111.743288,40.032656,49049003403
centroid_126,-111.744123,40.285687,49049002212
centroid_127,-111.744399,40.593159,49035110106
centroid_128,-111.749055,41.125046,49029970101
centroid_129,-111.75038,40.303888,49049002208
centroid_130,-111.751071,40.360975,49049000511
centroid_131,-111.751631,40.402618,49049010213
centroid_132,-111.755119,40.37103,49049000508
centroid_133,-111.758195,40.383894,49049010225
centroid_134,-111.75884,40.421882,49049010220
centroid_135,-111.760547,40.052672,49049010504
centroid_136,-111.761646,40.399297,49049010213
centroid_137,-111.76706,40.445054,49049010209
centroid_138,-111.767634,40.363462,49049000510
centroid_139,-111.770417,40.46392,49049010211
centroid_140,-111.770737,40.73081,49035110103
centroid_141,-111.773142,39.968359,49049010409
